id	state	dem_vote_total	rep_vote_total	real_vote_total	real_dem_seats	real_rep_seats	real_seat_total	sim_rep_seats	sim_dem_seats	sim_alt_seats	GOP_remainder	dem_remainder	alt_remainder	GOP_sim_seats	dem_sim_seats	alt_sim_seats	flloor_sim_seats_plus_one	sim seat check
2	AK	99069	125410	242844	0	1	1	0.516	0.408	0.07562468087	0.516	0.408	0.07562468087	1	0	0	1	Correct
1	AL	551619	192515	782964	1	6	7	1.721	4.932	0.3471551693	0.721	0.932	0.3471551693	2	5	0	0	Correct
5	AR	253616	506992	826342	0	4	4	2.454	1.228	0.3181927096	0.454	0.228	0.3181927096	3	1	0	1	Correct
4	AZ	572084	811482	1455579	5	4	9	5.017	3.537	0.4452640496	0.017	0.537	0.4452640496	5	4	0	1	Correct
6	CA	3424521	2566320	6240898	38	15	53	21.794	29.082	2.123575966	0.794	0.082	0.1235759662	22	29	2	1	Correct
8	CO	908693	981529	1952142	4	3	7	3.52	3.258	0.2220330283	0.52	0.258	0.2220330283	4	3	0	1	Correct
9	CT	632144	415003	1057675	5	0	5	1.962	2.988	0.04976954168	0.962	0.988	0.04976954168	2	3	0	0	Correct
10	DE	137,245	85142	231607	1	0	1	0.368	0.593	0.03980881407	0.368	0.593	0.03980881407	0	1	0	1	Correct
12	FL	1972807	2709837	4835401	10	17	27	15.131	11.016	0.8529673134	0.131	0.016	0.8529673134	15	11	1	1	Correct
13	GA	462354	779647	1242001	4	10	14	8.788	5.212	0	0.788	0.212	0	9	5	0	1	Correct
15	HI	235309	120030	360030	2	0	2	0.667	1.307	0.02605893953	0.667	0.307	0.02605893953	1	1	0	1	Correct
19	IA	506463	594103	1113956	1	3	4	2.133	1.819	0.04808089368	0.133	0.819	0.04808089368	2	2	0	1	Correct
16	ID	160080	275023	435103	0	2	2	1.264	0.736	0	0.264	0.736	0	1	1	0	1	Correct
17	IL	1684610	1501067	3452047	10	8	18	7.827	8.784	1.388932422	0.827	0.784	0.3889324218	8	9	1	0	Correct
18	IN	498162	789513	1332384	2	7	9	5.333	3.365	0.3020007746	0.333	0.365	0.3020007746	5	4	0	1	Correct
20	KS	304077	527261	840862	0	4	4	2.508	1.447	0.04530588848	0.508	0.447	0.04530588848	3	1	0	1	Correct
21	KY	508288	886885	1397491	1	5	6	3.808	2.182	0.009952121337	0.808	0.182	0.009952121337	4	2	0	1	Correct
22	LA	392572	882769	1406545	4	5	9	5.649	2.512	0.8395294854	0.649	0.512	0.8395294854	6	2	1	0	Correct
25	MA	427669	307685	747529	8	0	8	3.293	4.577	0.1302959484	0.293	0.577	0.1302959484	3	5	0	1	Correct
24	MD	928843	677679	1623627	7	1	8	3.339	4.577	0.08428044126	0.339	0.577	0.08428044126	3	5	0	1	Correct
23	ME	304379	227959	591158	1	1	2	0.771	1.03	0.1989992523	0.771	0.03	0.1989992523	1	1	0	1	Correct
26	MI	1415052	1339549	3066708	5	9	14	6.115	6.46	1.4248171	0.115	0.46	0.4248171003	6	7	1	1	Correct
27	MN	985352	913212	1960845	5	3	8	3.726	4.02	0.2540986156	0.726	0.02	0.2540986156	4	4	0	1	Correct
29	MO	511435	836535	1422140	2	6	8	4.706	2.877	0.4172303711	0.706	0.877	0.4172303711	5	3	0	0	Correct
28	MS	223034	337548	611333	1	3	4	2.209	1.459	0.3320677928	0.209	0.459	0.3320677928	2	2	0	1	Correct
30	MT	146,187	201,004	362235	0	1	1	0.555	0.404	0.04153105029	0.555	0.404	0.04153105029	1	0	0	1	Correct
37	NC	1136893	1249222	2611785	3	10	13	6.218	5.659	1.123258614	0.218	0.659	0.1232586143	6	6	1	1	Correct
38	ND	95,355	137,569	247400	0	1	1	0.556	0.385	0.05851253032	0.556	0.385	0.05851253032	1	0	0	1	Correct
31	NE	176775	334475	519641	1	2	3	1.931	1.021	0.04844305973	0.931	0.021	0.04844305973	2	1	0	1	Correct
33	NH	247,054	231,956	479,010	1	1	2	0.968	1.032	0	0.968	0.032	0	1	1	0	1	Correct
34	NJ	889485	856326	1775002	6	6	12	5.789	6.013	0.1973473833	0.789	0.013	0.1973473833	6	6	0	1	Correct
35	NM	264944	237182	502126	2	1	3	1.417	1.583	0	0.417	0.583	0	1	2	0	1	Correct
32	NV	210066	304912	543023	1	3	4	2.246	1.547	0.2065842515	0.246	0.547	0.2065842515	2	2	0	1	Correct
36	NY	1711328	1327888	3115685	18	9	27	11.507	14.83	0.6626674391	0.507	0.83	0.6626674391	11	15	1	0	Correct
39	OH	1153978	1602152	2,804,455	4	12	16	9.141	6.584	0.2757041921	0.141	0.584	0.2757041921	9	7	0	1	Correct
40	OK	173713	457095	652558	0	5	5	3.502	1.331	0.1666518532	0.502	0.331	0.1666518532	4	1	0	1	Correct
41	OR	709682	543491	1329130	4	1	5	2.045	2.67	0.2857395439	0.045	0.67	0.2857395439	2	3	0	1	Correct
42	PA	1304234	1523654	2850499	5	13	18	9.621	8.236	0.1427813165	0.621	0.236	0.1427813165	10	8	0	1	Correct
44	RI	191978	122372	314350	2	0	2	0.779	1.221	0	0.779	0.221	0	1	1	0	1	Correct
45	SC	308578	509564	1020422	1	6	7	3.496	2.117	1.387621984	0.496	0.117	0.3876219838	4	2	1	1	Correct
46	SD	92,438	183,796	276,234	0	1	1	0.665	0.335	0	0.665	0.335	0	1	0	0	1	Correct
47	TN	447701	848206	1369702	2	7	9	5.573	2.942	0.484890144	0.573	0.942	0.484890144	6	3	0	0	Correct
48	TX	1404981	2564228	4330125	11	25	36	21.319	11.681	3.000600676	0.319	0.681	0.0006006755001	21	12	3	1	Correct
49	UT	163764	306167	496308	0	4	4	2.468	1.32	0.2125857331	0.468	0.32	0.2125857331	3	1	0	1	Correct
51	VA	735153	1179492	2040999	3	8	11	6.357	3.962	0.6809871048	0.357	0.962	0.6809871048	6	4	1	0	Correct
50	VT	123896	59903	192421	1	0	1	0.311	0.644	0.04480799913	0.311	0.644	0.04480799913	0	1	0	1	Correct
53	WA	916049	815655	1919965	6	4	10	4.248	4.771	0.9805439162	0.248	0.771	0.9805439162	4	5	1	0	Correct
55	WI	1101207	1230647	2349362	3	5	8	4.191	3.75	0.05961788775	0.191	0.75	0.05961788775	4	4	0	1	Correct
54	WV	181389	241348	436593	0	3	3	1.658	1.246	0.09520995527	0.658	0.246	0.09520995527	2	1	0	1	Correct
56	WY	37365	111129	162154	0	1	1	0.685	0.23	0.08424090679	0.685	0.23	0.08424090679	1	0	0	1	Correct